Time [s],Valor real do potenciômetro
20.240073842,3.678
20.260073842,3.683
20.280073842,3.683
20.300073842,3.678
20.320073842,3.678
20.340073842,3.678
20.360073842,3.683
20.380073842,3.678
20.400073842,3.678
20.420073842,3.678
20.440073842,3.678
20.460073842,3.683
20.480073842,3.683
20.500073842,3.673
20.520073842,3.678
20.540073842,3.683
20.560073842,3.678
20.580073842,3.683
20.600073842,3.678
20.620073842,3.678
20.640073842,3.678
20.660073842,3.678
20.680073842,3.678
20.700073842,3.673
20.720073842,3.683
20.740073842,3.678
20.760073842,3.683
20.780073842,3.678
20.800073842,3.678
20.820073842,3.678
20.840073842,3.683
20.860073842,3.683
20.880073842,3.678
20.900073842,3.678
20.920073842,3.678
20.940073842,3.683
20.960073842,3.678
20.980073842,3.683
21.000073842,3.678
21.020073842,3.678
21.040073842,3.683
21.060073842,3.683
21.080073842,3.683
21.100073842,3.683
21.120073842,3.678
21.140073842,3.678
21.160073842,3.683
21.180073842,3.678
21.200073842,3.678
21.220073842,3.678
21.240073842,3.678
21.260073842,3.678
21.280073842,3.678
21.300073842,3.678
21.320073842,3.683
21.340073842,3.683
21.360073842,3.683
21.380073842,3.678
21.400073842,3.678
21.420073842,3.678
21.440073842,3.683
21.460073842,3.683
21.480073842,3.678
21.500073842,3.678
21.520073842,3.678
21.540073842,3.683
21.560073842,3.683
21.580073842,3.683
21.600073842,3.678
21.620073842,3.678
21.640073842,3.683
21.660073842,3.678
21.680073842,3.683
21.700073842,3.678
21.720073842,3.683
21.740073842,3.678
21.760073842,3.683
21.780073842,3.683
21.800073842,3.678
21.820073842,3.678
21.840073842,3.683
21.860073842,3.683
21.880073842,3.683
21.900073842,3.683
21.920073842,3.683
21.940073842,3.678
21.960073842,3.683
21.980073842,3.683
22.000073842,3.678
22.020073842,3.683
22.040073842,3.683
22.060073842,3.683
22.080073842,3.678
22.100073842,3.683
22.120073842,3.683
22.140073842,3.683
22.160073842,3.683
22.180073842,3.678
22.200073842,3.683
22.220073842,3.678
22.240073842,3.678
22.260073842,3.678
22.280073842,3.683
22.300073842,3.683
22.320073842,3.678
22.340073842,3.678
22.360073842,3.683
22.380073842,3.683
22.400073842,3.683
22.420073842,3.678
22.440073842,3.683
22.460073842,3.683
22.480073842,3.683
22.500073842,3.678
22.520073842,3.678
22.540073842,3.678
22.560073842,3.683
22.580073842,3.683
22.600073842,3.678
22.620073842,3.683
22.640073842,3.683
22.660073842,3.678
22.680073842,3.678
22.700073842,3.678
22.720073842,3.678
22.740073842,3.678
22.760073842,3.683
22.780073842,3.678
22.800073842,3.678
22.820073842,3.683
22.840073842,3.683
22.860073842,3.683
22.880073842,3.683
22.900073842,3.678
22.920073842,3.678
22.940073842,3.683
22.960073842,3.683
22.980073842,3.678
23.000073842,3.673
23.020073842,3.678
23.040073842,3.683
23.060073842,3.683
23.080073842,3.683
23.100073842,3.678
23.120073842,3.683
23.140073842,3.683
23.160073842,3.678
23.180073842,3.683
23.200073842,3.683
23.220073842,3.678
23.240073842,3.683
23.260073842,3.683
23.280073842,3.683
23.300073842,3.678
23.320073842,3.678
23.340073842,3.683
23.360073842,3.683
23.380073842,3.683
23.400073842,3.673
23.420073842,3.678
23.440073842,3.678
23.460073842,3.683
23.480073842,3.678
23.500073842,3.678
23.520073842,3.683
23.540073842,3.678
23.560073842,3.678
23.580073842,3.678
23.600073842,3.678
23.620073842,3.678
23.640073842,3.678
23.660073842,3.678
23.680073842,3.678
23.700073842,3.678
23.720073842,3.683
23.740073842,3.683
23.760073842,3.683
23.780073842,3.678
23.800073842,3.678
23.820073842,3.683
23.840073842,3.683
23.860073842,3.683
23.880073842,3.683
23.900073842,3.678
23.920073842,3.678
23.940073842,3.683
23.960073842,3.683
23.980073842,3.678
24.000073842,3.683
24.020073842,3.683
24.040073842,3.683
24.060073842,3.678
24.080073842,3.678
24.100073842,3.678
24.120073842,3.678
24.140073842,3.683
24.160073842,3.678
24.180073842,3.678
24.200073842,3.678
24.220073842,3.683
24.240073842,3.678
24.260073842,3.678
24.280073842,3.678
24.300073842,3.683
24.320073842,3.678
24.340073842,3.683
24.360073842,3.678
24.380073842,3.683
24.400073842,3.678
24.420073842,3.678
24.440073842,3.678
24.460073842,3.678
24.480073842,3.678
24.500073842,3.683
24.520073842,3.683
24.540073842,3.683
24.560073842,3.683
24.580073842,3.678
24.600073842,3.678
24.620073842,3.678
24.640073842,3.683
24.660073842,3.678
24.680073842,3.683
24.700073842,3.678
24.720073842,3.678
24.740073842,3.683
24.760073842,3.683
24.780073842,3.683
24.800073842,3.678
24.820073842,3.683
24.840073842,3.683
24.860073842,3.678
24.880073842,3.678
24.900073842,3.678
24.920073842,3.678
24.940073842,3.683
24.960073842,3.683
24.980073842,3.683
25.000073842,3.678
25.020073842,3.678
25.040073842,3.683
25.060073842,3.678
25.080073842,3.678
